pkey,id,date,security,asset,liability
607,436,2002-09-30,0,397297,359011
608,436,2002-12-31,0,400834,361606
609,441,2002-03-31,190868,919796,830605
610,441,2002-06-30,178751,920537,826829
611,441,2002-09-30,160565,948992,852571
612,441,2002-12-31,152676,945621,847985
613,444,2002-03-31,4,148513,133289
614,444,2002-06-30,4,144043,132760
615,444,2002-09-30,3,155285,143277
616,444,2002-12-31,3,155200,143189
617,445,2002-03-31,58660,226980,208093
618,445,2002-06-30,60410,230945,211225
619,445,2002-09-30,60442,236739,216156
620,445,2002-12-31,63579,239033,218357
621,463,2002-03-31,2045,483407,428977
622,463,2002-06-30,1806,497225,440646
623,463,2002-09-30,1614,505239,446390
624,463,2002-12-31,1420,496566,437940
625,484,2002-03-31,2014,23477,18242
626,484,2002-06-30,2002,23262,17932
627,484,2002-09-30,1967,24275,18870
628,484,2002-12-31,765,24728,19337
629,485,2002-03-31,0,33828,27005
630,485,2002-06-30,0,32932,25985
631,485,2002-09-30,0,32639,25701
632,485,2002-12-31,0,33209,26275
633,488,2002-03-31,15747,114756,103482
634,488,2002-06-30,13008,119485,107573
635,488,2002-09-30,19727,125238,112775
636,488,2002-12-31,26443,127349,114846
637,492,2002-03-31,0,13943,12240
638,492,2002-06-30,0,14381,12570
639,492,2002-09-30,0,13948,12006
640,492,2002-12-31,0,15630,13657
641,496,2002-03-31,31,26749,24220
642,496,2002-06-30,31,27485,24594
643,496,2002-09-30,129,30092,27218
644,496,2002-12-31,2488,35237,32026
645,498,2002-03-31,5,17105,14567
646,498,2002-06-30,5,16729,14137
647,498,2002-09-30,5,17218,14576
648,498,2002-12-31,4,17979,15297
649,501,2002-03-31,5897,52200,43768
650,501,2002-06-30,6222,52567,43951
651,501,2002-09-30,5475,53398,44723
652,501,2002-12-31,4411,53676,45171
653,504,2002-03-31,869,24013,21447
654,504,2002-06-30,828,23468,20634
655,504,2002-09-30,749,25259,22409
656,504,2002-12-31,678,27430,24553
657,505,2002-03-31,1083,36192,31745
658,505,2002-06-30,1024,37153,32412
659,505,2002-09-30,939,35815,30786
660,505,2002-12-31,785,37556,33019
661,513,2002-03-31,1339,19139,16806
662,513,2002-06-30,1241,19113,16804
663,513,2002-09-30,1191,20342,17990
664,513,2002-12-31,984,21086,18791
665,520,2002-03-31,10754,467439,434377
666,520,2002-06-30,9601,465969,431926
667,520,2002-09-30,8605,487325,451753
668,520,2002-12-31,8664,493748,456952
669,522,2002-03-31,0,22299,19829
670,522,2002-06-30,0,21657,19132
671,522,2002-09-30,0,22300,19677
672,522,2002-12-31,0,22783,20434
673,526,2002-03-31,0,14172,11539
674,526,2002-06-30,0,14556,11870
675,526,2002-09-30,0,15164,12376
676,526,2002-12-31,0,16291,13475
677,529,2002-03-31,15,50444,46558
678,529,2002-06-30,14,59411,55189
679,529,2002-09-30,13,62321,57645
680,529,2002-12-31,10,59276,54866
681,530,2002-03-31,7924,93336,85924
682,530,2002-06-30,8065,103716,96061
683,530,2002-09-30,8923,108025,100083
684,530,2002-12-31,8206,110134,101985
685,571,2002-03-31,0,210907,187276
686,571,2002-06-30,0,215965,191990
687,571,2002-09-30,0,221835,197716
688,571,2002-12-31,0,221182,196873
689,581,2002-03-31,1396,18148,16798
690,588,2002-03-31,1460000,30700000,27500000
691,588,2002-06-30,1480000,31100000,27900000
692,588,2002-09-30,1790000,33600000,30400000
693,588,2002-12-31,2650000,32700000,29300000
694,589,2002-03-31,9670000,84800000,77800000
695,589,2002-06-30,9620000,84300000,77200000
696,589,2002-09-30,11000000,87200000,80000000
697,589,2002-12-31,11400000,86400000,79100000
698,591,2002-03-31,2950,44030,40414
699,591,2002-06-30,3386,45510,41811
700,591,2002-09-30,2882,45411,41686
701,591,2002-12-31,2051,44271,40530
702,597,2002-03-31,83395,748039,672767
703,597,2002-06-30,102865,738600,663591
704,597,2002-09-30,115838,749826,675636
705,597,2002-12-31,140009,747749,672963
706,609,2002-03-31,182312,888969,823396
707,609,2002-06-30,182465,903883,832434
